Feature,Importance
OverTime,0.132329470253087
JobRole,0.04409588761405975
YearsWithCurrManager,0.03292978208232443
BusinessTravel,0.029158665219448366
JobInvolvement,0.024871544365669053
MonthlyIncome,0.02484151242033673
Age,0.021143403644864757
DistanceFromHome,0.0194896812379043
YearsInCurrentRole,0.015809189836074676
MaritalStatus,0.003101616879072988
Education,0.0
TotalWorkingYears,-0.001589336550970022
NumCompaniesWorked,-0.003626082211648507
Department,-0.006608221313072293
PerformanceRating,-0.0070134424313267555
WorkLifeBalance,-0.009918257576706802
YearsSinceLastPromotion,-0.014594266990314086
MonthlyRate,-0.014915254237288145
YearsAtCompany,-0.01802908215244976
JobSatisfaction,-0.023881956085345935
StockOptionLevel,-0.030865522554593294
RelationshipSatisfaction,-0.032217323233237026
EnvironmentSatisfaction,-0.03307262652601639
HourlyRate,-0.03600848995662742
DailyRate,-0.038263693937971285
TrainingTimesLastYear,-0.041162748314197216
PercentSalaryHike,-0.046666666666666676
JobLevel,-0.048013542552583145
EducationField,-0.0627362504777154
